task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
80	89/0c0872	92872	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:53:45.606	2.7s	2s	246.7%	51.9 MB	2.1 GB	39.1 MB	2.1 KB
78	46/d7ce0a	93353	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONSATURATION (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:53:48.278	3.1s	3s	242.5%	56.1 MB	2.1 GB	48.5 MB	29.3 KB
85	94/7d838b	93953	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:53:51.370	5.1s	4s	98.7%	256.2 MB	286.7 MB	0	0
86	2f/c0f532	94591	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:53:56.448	4.2s	2s	112.2%	91.8 MB	578.5 MB	0	0
132	73/84a7a2	95363	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:54:01.624	996ms	0ms	104.3%	12.9 MB	17.5 MB	4.7 MB	3.1 KB
82	fb/770e00	95085	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:54:00.619	3.9s	3s	98.7%	78.9 MB	138.7 MB	212.1 MB	44.4 MB
84	c9/5ccbfa	95966	NFCORE_RNASEQ:RNASEQ:QUALIMAP_RNASEQ (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:54:04.548	15.3s	13s	190.6%	1.3 GB	33.6 GB	254.9 MB	31.1 MB
87	a9/0f1a2a	97448	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_BAMSTAT (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:54:19.876	2.8s	2s	231.1%	45.5 MB	2.1 GB	41.2 MB	2.6 KB
92	c1/163587	97929	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDUPLICATION (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:54:22.631	3.6s	3s	203.5%	114.1 MB	4.2 GB	47.2 MB	170.7 KB
91	8d/698414	98496	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:54:26.270	3.1s	3s	254.5%	54.3 MB	2.1 GB	50.7 MB	81.9 KB
90	e9/9a8279	99111	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INNERDISTANCE (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:54:29.405	7.7s	6s	153.6%	132.7 MB	2.2 GB	54.1 MB	9.6 MB
88	6f/b127ea	99894	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:54:37.123	2.7s	2s	226.8%	52.3 MB	2.1 GB	39.7 MB	2.1 KB
93	34/af1121	100376	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONSATURATION (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:54:39.845	3.2s	2s	241.5%	56.4 MB	2.1 GB	50.6 MB	29.2 KB
89	be/7886e0	100985	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDISTRIBUTION (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:54:43.020	6.9s	6s	142.6%	151.6 MB	2.2 GB	76.1 MB	3 KB
94	52/bbf6d4	101723	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:54:49.874	5s	3s	99.0%	226.5 MB	257.3 MB	0	0
99	78/dee8c2	102340	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:54:54.919	4.1s	2s	110.7%	77.6 MB	706.5 MB	0	0
135	9b/9270cc	103113	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:55:00.025	972ms	0ms	120.3%	11.2 MB	17.5 MB	4.7 MB	3.1 KB
97	1f/3b9bc1	102821	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:54:59.020	4s	3s	99.7%	85.7 MB	248.8 MB	214.5 MB	44.4 MB
98	7a/860966	103667	NFCORE_RNASEQ:RNASEQ:QUALIMAP_RNASEQ (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:55:02.992	14.9s	13s	193.6%	1.5 GB	33.6 GB	258.5 MB	32.3 MB
101	80/e8a544	105192	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDUPLICATION (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:55:17.944	3.7s	3s	208.9%	123.8 MB	4.2 GB	49.6 MB	137.4 KB
100	17/d6d89b	105781	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_BAMSTAT (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:55:21.620	2.7s	2s	224.9%	45.3 MB	2.1 GB	43.6 MB	2.6 KB
104	aa/b55aeb	106242	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:55:24.333	3.1s	3s	250.3%	53.9 MB	2.1 GB	53 MB	83.7 KB
102	02/e088f3	106855	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONSATURATION (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:55:27.410	3.2s	2s	282.2%	55.8 MB	2.1 GB	53 MB	29.2 KB
105	e4/011817	107495	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:55:30.571	2.7s	2s	194.8%	52.4 MB	2.1 GB	47.1 MB	2.1 KB
103	89/02bc74	107943	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INNERDISTANCE (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:55:33.294	6s	6s	165.9%	180.3 MB	4.3 GB	56.5 MB	6.3 MB
106	c6/740e2c	108659	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDISTRIBUTION (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:55:39.265	6.8s	6s	135.5%	151.6 MB	2.2 GB	78.4 MB	3 KB
119	6b/330b0a	109373	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SE_GENE_SCALED (tx2gene.tsv)	COMPLETED	0	2024-06-12 15:55:46.092	28.2s	8s	108.8%	412.2 MB	2.5 GB	50.4 MB	267.6 KB
121	09/afcaec	110814	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SE_GENE_LENGTH_SCALED (tx2gene.tsv)	COMPLETED	0	2024-06-12 15:56:14.334	8.8s	7s	115.4%	412.2 MB	2.5 GB	50.4 MB	267.6 KB
123	5d/f7de8a	112187	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SE_TRANSCRIPT (tx2gene.tsv)	COMPLETED	0	2024-06-12 15:56:23.146	8.9s	7s	128.0%	414.4 MB	2.5 GB	51.6 MB	582.1 KB
120	a6/7462cd	113597	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SE_GENE (tx2gene.tsv)	COMPLETED	0	2024-06-12 15:56:32.034	8.8s	7s	127.5%	412.2 MB	2.5 GB	50.4 MB	267.3 KB
122	8b/79b3ef	114988	NFCORE_RNASEQ:RNASEQ:DESEQ2_QC_STAR_SALMON	COMPLETED	0	2024-06-12 15:56:40.868	39s	12s	109.1%	690.5 MB	2.7 GB	68.8 MB	429.5 KB
124	23/ace2b2	116133	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:57:19.825	4s	0ms	126.3%	3.2 MB	5.4 MB	161.7 KB	105.5 KB
125	51/c40e39	116503	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDCLIP (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:57:23.794	892ms	0ms	94.1%	0	0	59.5 KB	3.4 KB
128	b2/c7978a	116832	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:57:24.690	914ms	0ms	86.5%	3.2 MB	5.4 MB	207.5 KB	151.4 KB
127	48/7d081b	117222	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDCLIP (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:57:25.608	903ms	0ms	91.4%	3.2 MB	5.4 MB	59.1 KB	3 KB
130	c3/2a9021	117581	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:57:26.537	1s	0ms	91.4%	3.1 MB	5.4 MB	163.7 KB	107.6 KB
136	9c/9c0153	116834	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:57:24.693	4.1s	0ms	136.2%	3.1 MB	5.4 MB	370.6 KB	84 KB
138	64/ceeeb7	117587	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:57:26.542	2.3s	0ms	116.4%	3.2 MB	5.4 MB	508 KB	101.1 KB
139	ba/550927	117591	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:57:26.546	2.5s	0ms	86.5%	3.2 MB	5.4 MB	62.9 KB	27.2 KB
131	e3/80f55a	118015	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDCLIP (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:57:27.562	1.7s	0ms	123.1%	0	0	58.7 KB	2.5 KB
137	0b/8903d9	116846	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:57:24.699	4.7s	0ms	106.7%	3.1 MB	5.4 MB	64.1 KB	27.3 KB
140	ce/090722	119202	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:57:28.769	1.5s	0ms	136.2%	3.2 MB	5.4 MB	376.7 KB	85.5 KB
133	d5/bdf532	119594	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDCLIP (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:57:29.270	1s	0ms	117.1%	0	0	60 KB	3.9 KB
142	fa/da2666	119658	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:57:29.366	1.1s	0ms	137.1%	3.2 MB	5.4 MB	61.6 KB	27 KB
143	e0/cb9da9	120473	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:57:30.318	1.7s	0ms	133.3%	3.2 MB	5.4 MB	65.7 KB	33.7 KB
134	67/fa2178	120467	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:57:30.311	1.7s	0ms	168.4%	3.2 MB	5.4 MB	209.5 KB	153.4 KB
144	b4/27374b	121169	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:57:32.041	1.3s	0ms	116.4%	3.1 MB	5.4 MB	514.1 KB	100.4 KB
141	d2/ce9717	119514	NFCORE_RNASEQ:RNASEQ:CUSTOM_DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2024-06-12 15:57:29.061	14.6s	89ms	90.6%	8.3 MB	15.6 MB	1.2 MB	9.9 KB
145	6a/80bff1	121831	NFCORE_RNASEQ:RNASEQ:MULTIQC (1)	COMPLETED	0	2024-06-12 15:57:43.697	34.6s	33.4s	238.9%	178.4 MB	2.4 GB	1.7 GB	15.2 MB
